number,title,body,title_length,body_length,created_at,merged_at,updated_at,closed_at,state,merged,comments,commits,additions,deletions,changed_files,lines_added,lines_deleted,files_added,files_deleted,files_updated,files_modified,directory_num,file_type,language_num,segs_added,segs_deleted,segs_updated,file_developer,change_num,k_coreness,experience,repo
24,Add Arch Linux installation instructions to README,,50,0,2018-04-30 22:04:50+00:00,2018-05-01 08:04:15+00:00,2018-05-01 08:04:35+00:00,2018-05-01 08:04:15+00:00,closed,True,1,1,10,0,1,10,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/bat
47,Add statically-linked version of bat,"

closes #46",36,14,2018-05-03 06:24:39+00:00,2018-05-03 07:07:01+00:00,2018-05-03 08:52:35+00:00,2018-05-03 07:07:01+00:00,closed,True,3,1,12,0,1,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/bat
43,Add options to disable,"* line number
* git modification marker
* file name

fix #5",22,63,2018-05-02 19:59:45+00:00,2018-05-03 18:34:24+00:00,2018-05-03 20:23:22+00:00,2018-05-03 18:34:24+00:00,closed,True,11,3,39,10,1,39,10,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/bat
32,Use openssl,A way to fix #30 (?),11,20,2018-05-01 07:58:35+00:00,2018-05-01 08:45:53+00:00,2018-05-01 08:45:56+00:00,2018-05-01 08:45:53+00:00,closed,True,0,2,5,0,1,5,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/bat
42,Remove openssl dependency,Fixes #30 ,25,10,2018-05-02 18:16:59+00:00,2018-05-02 18:45:08+00:00,2018-05-02 18:45:12+00:00,2018-05-02 18:45:08+00:00,closed,True,0,1,8,56,4,8,56,0,0,4,4,0,4,4,0,0,0,0,4,0,0,sharkdp/bat
40,Update README.md,"Bump the required Rust version. Because of some transitive dependencies needing `std::sync::atomic::spin_loop_hint`, this won't compile without [1.24](https://blog.rust-lang.org/2018/02/15/Rust-1.24.html):

```
   Compiling parking_lot_core v0.2.14
error[E0432]: unresolved import `std::sync::atomic::spin_loop_hint`
  --> .cargo/registry/src/github.com-1ecc6299db9ec823/parking_lot_core-0.2.14/src/spinwait.rs:14:5
   |
14 | use std::sync::atomic::spin_loop_hint;
   |     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ no `spin_loop_hint` in `sync::atomic`

error: aborting due to previous error

error: Could not compile `parking_lot_core`.
warning: build failed, waiting for other jobs to finish...
error: failed to compile `bat v0.2.0`, intermediate artifacts can be found at `/var/folders/z6/9wkk458s4y1g3_82242l_wv5ws7k_8/T/cargo-install.Nyyc2EJDojxa`
```",16,864,2018-05-02 13:10:02+00:00,2018-05-03 06:22:31+00:00,2018-05-03 06:22:47+00:00,2018-05-03 06:22:31+00:00,closed,True,3,3,3,3,2,3,3,0,0,2,2,0,2,2,0,0,0,0,2,0,0,sharkdp/bat
39,Add option to specify language,Closes #19 ,30,11,2018-05-02 12:32:09+00:00,2018-05-03 15:00:37+00:00,2018-05-03 15:06:46+00:00,2018-05-03 15:00:37+00:00,closed,True,6,1,21,6,1,21,6,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/bat
38,continue to output files,Closes #17.,24,11,2018-05-02 10:39:48+00:00,,2018-05-19 10:51:18+00:00,2018-05-19 10:51:18+00:00,closed,False,10,2,21,1,1,21,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/bat
49,Add less pager,"Closes #29 

The huge diff (just whitespace) is because I needed to introduce a new scope because `wait()` borrows mutably",14,124,2018-05-03 11:46:39+00:00,2018-05-05 07:01:31+00:00,2018-05-05 11:48:32+00:00,2018-05-05 07:01:31+00:00,closed,True,18,1,57,9,2,57,9,0,0,2,2,1,2,2,0,0,0,0,2,0,0,sharkdp/bat
65,Run 'cargo fmt' and enforce via Travis,,38,0,2018-05-06 12:54:08+00:00,2018-05-06 13:10:47+00:00,2018-05-06 13:12:27+00:00,2018-05-06 13:10:47+00:00,closed,True,0,1,41,26,3,41,26,0,0,3,3,1,2,2,0,0,0,0,3,0,0,sharkdp/bat
53,Hide everything but content for plain option style,fix #5,50,6,2018-05-03 20:23:06+00:00,2018-05-03 20:49:38+00:00,2018-05-03 20:49:41+00:00,2018-05-03 20:49:38+00:00,closed,True,1,1,43,25,1,43,25,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/bat
62,Add color flag,"Closes  #26 

Colors are disabled if the terminal is not interactive unless explicitly
set otherwise",14,103,2018-05-05 13:57:40+00:00,2018-05-06 12:47:54+00:00,2018-05-06 18:09:31+00:00,2018-05-06 12:47:54+00:00,closed,True,4,1,75,22,2,75,22,0,0,2,2,1,1,1,0,0,0,0,2,0,0,sharkdp/bat
