,has_bug,has_document,has_feature,has_improve,has_refactor,has_test,has_fix,has_error,has_update,title_length,body_length,created_hour,created_dayofweek,created_month,created_year,comments,commits,additions,deletions,changed_files,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,file_developer,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
0,0,0,0,0,0,0,0,0,0,50,0,22,0,4,2018,1,1,10,0,1,0,1,1,10,0,0,0,0,0,0,1,0,1,1,0,0,7,0
1,0,0,0,0,0,0,0,0,0,36,14,6,3,5,2018,3,1,12,0,1,0,1,1,12,0,0,0,0,0,0,1,0,1,1,0,0,5,2
2,0,0,0,0,0,0,1,0,0,22,63,19,2,5,2018,11,3,39,10,1,1,1,1,39,10,0,0,0,0,0,1,0,1,1,0,0,4,12
3,0,0,0,0,0,0,1,0,0,11,20,7,1,5,2018,0,2,5,0,1,0,1,1,5,0,0,0,0,0,0,1,0,1,1,0,0,2,6
4,0,0,0,0,0,0,1,0,0,25,10,18,2,5,2018,0,1,8,56,4,0,4,4,8,56,0,0,0,0,0,4,0,4,4,0,0,3,2
5,0,0,0,0,0,0,0,1,1,16,864,13,2,5,2018,3,3,3,3,2,0,2,2,3,3,0,0,0,0,0,2,0,2,2,0,0,2,72
6,0,0,0,0,0,0,0,0,0,30,11,12,2,5,2018,6,1,21,6,1,1,1,1,21,6,0,0,0,0,0,1,0,1,1,0,0,5,2
7,0,0,0,0,0,0,0,0,0,24,11,10,2,5,2018,10,2,21,1,1,1,1,1,21,1,0,0,0,0,0,1,0,1,1,0,0,4,2
8,0,0,0,0,0,0,0,0,0,14,124,11,3,5,2018,18,1,57,9,2,1,2,2,57,9,0,0,0,0,0,2,0,2,2,0,0,3,20
9,0,0,0,0,0,0,0,0,0,38,0,12,6,5,2018,0,1,41,26,3,1,2,2,41,26,0,0,0,0,0,3,0,3,3,0,0,7,0
10,0,0,0,0,0,0,1,0,0,50,6,20,3,5,2018,1,1,43,25,1,1,1,1,43,25,0,0,0,0,0,1,0,1,1,0,0,8,2
11,0,0,0,0,0,0,0,0,0,14,103,13,5,5,2018,4,1,75,22,2,1,1,1,75,22,0,0,0,0,0,2,0,2,2,0,0,3,15
12,0,0,0,0,0,0,1,0,0,15,126,6,5,5,2018,3,3,5,7,1,1,1,1,5,7,0,0,0,0,0,1,0,1,1,0,0,3,23
13,0,0,0,0,0,0,0,0,0,47,35,13,6,5,2018,0,1,11,6,1,1,1,1,11,6,0,0,0,0,0,1,0,1,1,0,0,6,6
14,0,0,0,0,0,0,0,0,0,31,224,14,5,5,2018,4,1,13,4,1,1,1,1,13,4,0,0,0,0,0,1,0,1,1,0,0,5,38
15,0,0,0,0,0,0,0,0,0,49,73,17,6,5,2018,0,1,21,8,2,2,2,1,21,8,0,0,0,0,0,2,0,2,2,0,0,7,2
16,0,0,0,0,0,0,0,0,0,34,24,17,6,5,2018,2,2,40,17,1,1,1,1,40,17,0,0,0,0,0,1,0,1,1,0,0,6,4
17,0,0,1,0,0,0,0,0,0,11,567,23,6,5,2018,4,1,172,111,2,1,1,1,172,111,0,0,0,1,0,1,0,2,1,0,0,2,101
18,0,0,0,0,0,0,0,0,0,34,47,18,0,5,2018,11,4,65,35,2,1,1,1,65,35,0,0,0,0,0,2,0,2,2,0,0,6,7
19,0,0,0,0,0,0,0,0,0,39,1032,19,6,5,2018,30,6,146,61,2,1,1,1,146,61,0,0,0,0,0,2,0,2,2,0,0,5,148
20,0,0,0,0,0,0,0,0,0,13,120,15,2,5,2018,1,3,244,217,4,1,1,1,244,217,0,0,0,2,0,2,0,4,2,0,0,2,22
21,0,0,0,1,0,0,0,0,1,24,339,17,1,5,2018,0,1,89,34,2,1,2,2,89,34,0,0,0,0,0,2,0,2,2,0,0,3,56
22,1,0,0,0,0,0,0,0,0,44,537,19,0,5,2018,22,15,52,7,2,1,1,1,52,7,0,0,0,0,0,2,0,2,2,0,0,5,57
23,0,0,0,0,0,0,0,0,0,17,0,10,3,5,2018,0,4,9,36,3,0,3,3,9,36,0,0,0,0,0,3,0,3,3,0,0,3,0
24,0,0,0,0,0,0,1,0,0,19,0,10,3,5,2018,0,1,12,21,3,1,1,1,12,21,0,0,0,0,0,3,0,3,3,0,0,3,0
25,0,0,0,0,0,0,0,0,0,35,140,13,3,5,2018,0,1,13,4,1,1,1,1,13,4,0,0,0,0,0,1,0,1,1,0,0,6,25
26,0,0,0,0,0,0,0,0,0,16,11,11,4,5,2018,3,2,29,6,3,1,1,1,29,6,0,0,0,0,0,3,0,3,3,0,0,3,2
27,0,0,0,0,0,0,0,0,0,18,0,6,4,5,2018,1,2,300,270,4,1,1,1,300,270,0,0,0,2,0,2,0,4,2,0,0,3,0
28,0,0,0,0,0,0,0,0,0,29,40,12,5,5,2018,6,1,59,0,1,1,1,1,59,0,0,0,0,1,0,0,0,1,0,0,0,4,6
