,has_bug,has_document,has_feature,has_improve,has_refactor,has_test,has_fix,has_error,has_update,title_length,body_length,created_hour,created_dayofweek,created_month,created_year,comments,commits,additions,deletions,changed_files,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,file_developer,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
0,0,0,0,0,0,0,1,0,0,31,129,13,6,6,2017,0,1,21,13,2,2,2,2,21,13,0,0,0,0,0,2,0,2,2,0,0,5,23
1,0,0,0,0,0,0,1,0,0,17,409,20,4,9,2017,2,1,57,13,1,1,1,1,57,13,0,0,0,0,0,1,0,1,1,0,0,2,54
2,0,0,0,0,0,1,1,0,0,20,10,13,3,6,2017,0,2,45,39,1,1,1,1,45,39,0,0,0,0,0,1,0,1,1,0,0,4,2
3,0,0,0,0,0,0,0,0,0,19,92,21,2,7,2017,10,1,23,3,2,2,2,2,23,3,0,0,0,0,0,2,0,2,2,0,0,3,16
4,0,0,0,0,0,0,0,0,0,47,2431,20,6,6,2017,0,5,190,73,3,1,3,3,190,73,0,0,0,0,0,3,0,3,3,0,0,6,318
5,0,0,0,0,0,0,0,0,0,21,303,21,2,6,2017,14,3,5,0,1,1,1,1,5,0,0,0,0,0,0,1,0,1,1,0,0,2,46
6,0,0,0,0,0,0,0,0,0,23,44,3,6,9,2017,1,1,53,2,3,2,3,3,53,2,0,0,0,0,0,3,0,3,3,0,0,4,8
7,0,0,0,0,0,0,0,0,0,40,0,1,1,8,2017,1,1,7,0,1,0,1,1,7,0,0,0,0,0,0,1,0,1,1,0,0,5,0
8,0,0,0,0,0,0,0,0,0,23,268,20,4,9,2017,7,4,38,4,3,2,3,3,38,4,0,0,0,0,0,3,0,3,3,0,0,3,46
9,0,0,0,0,0,0,0,0,0,23,185,21,5,9,2017,2,1,11,6,1,1,1,1,11,6,0,0,0,0,0,1,0,1,1,0,0,5,31
10,0,0,1,0,0,0,0,0,0,22,60,21,0,10,2017,3,9,264,11,5,2,5,5,264,11,0,0,0,0,0,5,0,5,5,0,0,3,11
11,0,0,0,0,0,1,1,0,0,34,716,14,2,10,2017,4,7,568,258,6,2,5,5,568,258,0,0,0,2,1,3,0,6,3,0,0,5,116
12,0,0,1,0,0,0,0,0,0,27,214,12,2,10,2017,1,1,104,78,4,1,2,2,104,78,0,0,0,2,0,2,0,4,2,0,0,3,34
13,0,0,0,0,0,0,0,0,0,24,49,21,6,10,2017,16,12,262,3,5,2,5,5,262,3,0,0,0,0,0,5,0,5,5,0,0,4,8
14,0,0,0,0,0,0,0,0,0,50,109,17,1,10,2017,4,1,2,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,0,0,9,21
15,0,0,0,0,0,0,0,0,0,28,0,21,2,10,2017,4,1,241,0,1,0,1,1,241,0,0,0,0,0,0,1,0,1,1,0,0,5,0
16,0,0,0,0,0,0,0,0,0,29,402,3,3,10,2017,15,1,113,73,1,1,1,1,113,73,0,0,0,0,0,1,0,1,1,0,0,4,58
17,0,0,0,0,0,1,1,0,0,24,305,15,4,10,2017,0,3,24,19,4,4,1,1,24,19,0,0,0,0,0,4,0,4,4,0,0,3,43
18,0,0,0,0,0,0,0,0,0,29,744,15,5,10,2017,11,1,353,22,20,7,3,2,353,22,0,0,0,2,1,17,0,20,17,0,0,5,120
19,0,0,0,0,0,0,0,0,1,32,54,19,5,10,2017,0,1,6,4,1,0,1,1,6,4,0,0,0,0,0,1,0,1,1,0,0,6,2
20,0,0,0,0,0,0,0,0,0,27,9,0,2,10,2017,5,1,32,4,4,2,1,1,32,4,0,0,0,0,0,4,0,4,4,0,0,3,2
21,0,0,0,0,0,0,0,0,1,16,0,20,6,10,2017,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,2,0
22,0,0,0,0,0,0,1,0,0,34,69,1,0,10,2017,3,2,6,6,4,2,2,2,6,6,0,0,0,0,0,4,0,4,4,0,0,7,12
23,0,0,0,0,1,0,1,0,0,15,280,6,1,10,2017,6,1,354,330,4,1,1,1,354,330,0,0,0,3,0,1,0,4,1,0,0,3,51
24,0,1,0,0,0,1,1,0,1,22,269,0,2,10,2017,11,1,172,3,8,2,3,3,172,3,0,0,0,1,0,7,0,8,7,0,0,4,51
25,0,0,0,0,0,0,1,0,0,46,513,21,2,10,2017,7,1,50,15,2,2,1,1,50,15,0,0,0,0,0,2,0,2,2,0,0,8,83
26,0,0,0,1,0,0,1,0,0,59,71,19,4,10,2017,1,1,40,6,5,2,3,3,40,6,0,0,0,0,0,5,0,5,5,0,0,9,11
27,0,0,0,0,0,0,0,0,0,38,70,17,2,10,2017,4,1,352,252,8,5,1,1,352,252,0,0,0,0,0,8,0,8,8,0,0,6,13
28,0,0,0,0,0,0,1,0,0,44,252,11,2,10,2017,4,2,33,2,3,2,1,1,33,2,0,0,0,0,0,3,0,3,3,0,0,7,43
29,0,0,0,0,0,0,0,0,0,54,442,18,2,10,2017,2,1,29,11,1,0,1,1,29,11,0,0,0,0,0,1,0,1,1,0,0,9,75
30,0,0,0,0,0,0,0,0,1,24,0,18,4,10,2017,3,1,38,48,2,0,2,2,38,48,0,0,0,0,0,2,0,2,2,0,0,4,0
31,0,0,0,0,1,0,1,0,0,68,172,1,5,10,2017,1,3,98,84,1,1,1,1,98,84,0,0,0,0,0,1,0,1,1,0,0,11,32
32,0,0,0,0,0,0,1,0,0,45,75,11,5,10,2017,27,2,122,55,5,3,1,1,122,55,0,0,0,0,0,5,0,5,5,0,0,8,15
33,0,0,0,0,0,0,0,0,0,26,73,15,5,10,2017,1,1,4,0,1,0,1,1,4,0,0,0,0,0,0,1,0,1,1,0,0,4,12
34,0,0,0,0,0,0,0,0,0,53,40,13,5,10,2017,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,9,7
35,0,0,0,0,0,0,0,0,0,33,38,19,5,10,2017,1,1,5,0,1,0,1,1,5,0,0,0,0,0,0,1,0,1,1,0,0,5,6
36,0,0,1,0,0,0,0,0,1,25,353,16,5,10,2017,40,9,666,66,13,2,5,5,666,66,0,0,0,5,0,8,0,13,8,0,0,4,58
37,1,0,0,0,0,0,1,0,0,37,248,7,6,10,2017,4,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,6,35
38,0,0,0,0,0,1,0,0,0,41,116,9,6,10,2017,0,1,22,21,1,0,1,1,22,21,0,0,0,0,0,1,0,1,1,0,0,6,23
39,0,0,0,0,0,0,0,0,1,41,57,20,6,10,2017,1,3,93,156,1,0,1,1,93,156,0,0,0,0,0,1,0,1,1,0,0,5,9
40,0,0,0,0,0,0,0,0,0,38,68,12,6,10,2017,3,1,96,57,1,1,1,1,96,57,0,0,0,0,0,1,0,1,1,0,0,7,12
41,0,0,0,0,0,0,0,0,0,28,39,13,1,10,2017,14,2,126,0,1,1,1,1,126,0,0,0,0,1,0,0,0,1,0,0,0,6,1
42,0,0,0,0,0,0,1,0,0,27,0,21,6,10,2017,4,9,112,126,9,5,1,1,112,126,0,0,0,0,0,9,0,9,9,0,0,5,0
43,0,0,0,0,0,0,0,0,0,16,96,21,2,10,2017,0,1,3,3,2,1,1,1,3,3,0,0,0,0,0,2,0,2,2,0,0,2,18
44,0,0,0,0,0,0,0,0,0,23,101,18,1,10,2017,25,10,59,6,4,1,3,3,59,6,0,0,0,0,0,4,0,4,4,0,0,3,16
45,0,0,0,0,0,0,1,0,0,9,65,15,1,10,2017,1,4,59,4,4,1,3,3,59,4,0,0,0,0,0,4,0,4,4,0,0,2,9
46,0,0,0,0,0,0,1,0,0,39,94,17,0,10,2017,3,2,2,1,1,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,0,6,13
47,0,0,0,0,0,0,0,0,0,16,96,22,2,10,2017,5,2,5,5,2,2,1,1,5,5,0,0,0,0,0,2,0,2,2,0,0,2,17
48,0,0,0,0,0,0,1,1,0,48,442,14,3,10,2017,8,2,81,27,1,0,1,1,81,27,0,0,0,0,0,1,0,1,1,0,0,8,61
49,0,0,0,0,0,1,0,0,0,37,51,23,3,10,2017,6,7,31,5,3,2,2,2,31,5,0,0,0,0,0,3,0,3,3,0,0,5,9
50,0,0,0,0,0,0,0,0,0,58,13,2,4,10,2017,6,2,85,0,6,3,3,3,85,0,0,0,0,3,0,3,0,6,3,0,0,8,2
51,0,0,0,0,0,1,1,0,0,16,64,5,5,10,2017,16,5,170,94,6,4,3,3,170,94,0,0,0,0,0,6,0,6,6,0,0,3,12
52,0,0,0,0,0,0,0,0,0,30,127,8,5,10,2017,2,1,353,22,20,7,3,2,353,22,0,0,0,2,1,17,0,20,17,0,0,3,22
53,0,0,0,0,0,0,0,0,1,54,114,20,4,10,2017,1,1,2,4,1,0,1,1,2,4,0,0,0,0,0,1,0,1,1,0,0,9,21
54,0,0,0,0,0,0,0,0,0,18,196,19,4,10,2017,6,1,262,139,3,1,1,1,262,139,0,0,0,1,1,1,0,3,1,0,0,3,31
55,0,0,0,0,0,0,0,0,0,25,66,11,5,10,2017,2,1,33,26,1,1,1,1,33,26,0,0,0,0,0,1,0,1,1,0,0,5,11
56,0,0,0,0,0,0,1,0,1,50,8,20,5,10,2017,1,1,6,2,1,0,1,1,6,2,0,0,0,0,0,1,0,1,1,0,0,8,2
57,0,0,0,0,0,0,1,0,1,33,80,9,6,10,2017,0,1,26,21,10,3,4,4,26,21,0,0,0,0,0,10,0,10,10,0,0,5,14
58,0,0,0,0,0,0,0,0,0,13,54,17,6,10,2017,4,9,33,7,4,3,2,2,33,7,0,0,0,0,0,4,0,4,4,0,0,2,11
59,0,0,0,0,0,1,0,0,0,32,378,21,6,10,2017,3,1,92,11,5,2,1,1,92,11,0,0,0,0,0,5,0,5,5,0,0,4,53
60,0,0,0,0,0,0,1,0,0,48,780,11,0,10,2017,2,1,79,0,2,1,2,2,79,0,0,0,0,1,0,1,0,2,1,0,0,9,57
61,0,0,0,0,0,0,1,0,0,40,0,15,0,10,2017,1,1,3,3,1,1,1,1,3,3,0,0,0,0,0,1,0,1,1,0,0,8,0
62,0,0,0,0,0,0,1,0,0,39,85,21,1,10,2017,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,6,7
63,0,0,0,0,0,0,0,0,0,34,8,19,2,10,2017,0,1,6,4,1,1,1,1,6,4,0,0,0,0,0,1,0,1,1,0,0,5,2
64,0,0,0,0,0,0,1,0,0,24,62,14,1,10,2017,1,2,60,36,7,2,3,3,60,36,0,0,0,1,0,6,0,7,6,0,0,4,10
65,0,0,0,0,0,0,0,0,0,24,120,0,4,11,2017,18,8,329,448,13,4,5,5,329,448,0,0,0,1,1,11,0,13,11,0,0,4,20
66,0,0,0,0,0,0,0,0,0,31,36,19,4,11,2017,0,1,1,6,1,1,1,1,1,6,0,0,0,0,0,1,0,1,1,0,0,3,6
67,0,0,0,0,0,0,0,0,0,32,84,2,2,11,2017,3,1,2,0,1,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,4,15
68,0,0,0,0,0,0,0,0,0,51,0,15,3,11,2017,1,1,7,0,1,0,1,1,7,0,0,0,0,0,0,1,0,1,1,0,0,9,0
69,0,0,0,0,0,0,0,0,0,48,42,20,2,11,2017,1,1,5,0,1,0,1,1,5,0,0,0,0,0,0,1,0,1,1,0,0,8,9
70,0,0,0,0,0,0,0,0,0,37,0,17,0,11,2017,4,2,33,19,2,0,2,2,33,19,0,0,0,0,0,2,0,2,2,0,0,7,0
71,0,0,0,0,0,0,1,0,0,48,107,16,0,11,2017,1,1,21,0,3,0,3,3,21,0,0,0,0,0,0,3,0,3,3,0,0,8,9
72,0,0,0,0,0,0,0,0,0,26,52,21,1,11,2017,2,1,46,8,7,4,2,2,46,8,0,0,0,0,0,7,0,7,7,0,0,3,8
73,0,0,0,0,0,0,0,0,0,22,382,5,2,11,2017,1,5,45,2,1,1,1,1,45,2,0,0,0,0,0,1,0,1,1,0,0,3,67
74,0,0,0,1,1,0,0,0,0,60,268,3,2,11,2017,5,1,1,2,1,1,1,1,1,2,0,0,0,0,0,1,0,1,1,0,0,7,49
75,0,0,0,0,1,1,0,0,0,25,899,6,2,11,2017,19,17,115,82,7,3,2,2,115,82,0,0,0,0,0,7,0,7,7,0,0,4,144
76,0,0,0,0,0,0,0,0,0,21,57,22,3,11,2017,6,1,19,6,2,0,2,2,19,6,0,0,0,0,0,2,0,2,2,0,0,4,4
77,0,0,0,0,0,0,0,0,1,62,279,22,5,12,2017,1,1,2,2,1,0,1,1,2,2,0,0,0,0,0,1,0,1,1,0,0,11,43
78,0,0,0,0,0,0,1,0,0,44,78,21,6,12,2017,5,2,29,9,3,3,1,1,29,9,0,0,0,0,0,3,0,3,3,0,0,9,8
79,1,0,1,0,0,0,1,0,0,38,882,2,5,12,2017,7,1,3,73,1,1,1,1,3,73,0,0,0,0,0,1,0,1,1,0,0,4,133
80,0,0,0,0,0,0,0,0,0,3,187,8,1,12,2017,2,2,71,1,2,1,2,2,71,1,0,0,0,0,0,2,0,2,2,0,0,1,32
81,0,0,0,0,0,0,1,0,0,32,11,3,0,12,2017,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,5,2
82,0,0,0,0,0,0,0,0,0,23,53,2,3,12,2017,0,2,10,10,2,1,2,2,10,10,0,0,0,0,0,2,0,2,2,0,0,4,10
